# sigma8,om0,ode0
8.098014017930980080e-01,3.326994832294581927e-01,7.132133686638268966e-01
8.103596123680802954e-01,3.314659844216798490e-01,7.122944577409626721e-01
8.100981361649034485e-01,3.322319901301019618e-01,7.127885805735771907e-01
8.099607625297957636e-01,3.324990489028430418e-01,7.131767392061334476e-01
8.101008791978687729e-01,3.309469025668043685e-01,7.118994939918070752e-01
8.112066820362459074e-01,3.320858471650899313e-01,7.128499991924267531e-01
8.108161484988292145e-01,3.307884331561856683e-01,7.121716719441651966e-01
8.101197728539816234e-01,3.317404455099227101e-01,7.117940897446317638e-01
8.091317602580102575e-01,3.323339209313407872e-01,7.045838266691497598e-01
8.102299825724440518e-01,3.312012988832887528e-01,7.136765057567547865e-01
8.093724087431249936e-01,3.332150970284376568e-01,7.122263245828110989e-01
8.109340366777670894e-01,3.316671555169801722e-01,7.122818409564593001e-01
8.097340838371401839e-01,3.320982219856773443e-01,7.095097665536029830e-01
8.103163501647407951e-01,3.316600531951253705e-01,7.127531882718094458e-01
8.117688250400758587e-01,3.313120671589467325e-01,7.187653630103654212e-01
8.112296150783854243e-01,3.322773890286661036e-01,7.128590315624822038e-01
8.109365907617512859e-01,3.315386163978428780e-01,7.133605110783495240e-01
8.102141263638069635e-01,3.313206182690768276e-01,7.121231809561078263e-01
8.112897635508454774e-01,3.319983163303528717e-01,7.110249657562880410e-01
8.097525216928035396e-01,3.325039047040586615e-01,7.139831989477022356e-01
8.098014017930980080e-01,3.326994832294581927e-01,7.132133686638268966e-01
8.103596123680802954e-01,3.314659844216798490e-01,7.122944577409626721e-01
8.101299920426533463e-01,3.322104644794920958e-01,7.127692689030548090e-01
8.099607625297957636e-01,3.324990489028430418e-01,7.131767392061334476e-01
8.102382079450671792e-01,3.304743331397381190e-01,7.118205294108949088e-01
8.112069308562266379e-01,3.320879253648562068e-01,7.128500971922528961e-01
8.119233207733377311e-01,3.297725621273000507e-01,7.171592702354432358e-01
8.101595765922020576e-01,3.315505506020319793e-01,7.114479825500327204e-01
8.095019858528035295e-01,3.320517462504530837e-01,7.070563366976576614e-01
8.100915974313456225e-01,3.317019164801190967e-01,7.135065279076554523e-01
