# sigma8,om0
8.099706113493071458e-01,3.404080361422691658e-01
8.127964177313052874e-01,3.378053954998910258e-01
8.103680410126129496e-01,3.409051162888576680e-01
8.140126480077617410e-01,3.368739049672327956e-01
8.160066334453440762e-01,3.341108447743946774e-01
8.139677739016956126e-01,3.285383098807104219e-01
8.106450683562076431e-01,3.409767241792366899e-01
8.126181593527118663e-01,3.321227903278452520e-01
8.133296479488878461e-01,3.352887369709902643e-01
8.140676369422404912e-01,3.306559721314669686e-01
8.103982735451181751e-01,3.394021763890689991e-01
8.106428276772464914e-01,3.395139231374027511e-01
8.102504349234391778e-01,3.390215327922346811e-01
8.108029425300025128e-01,3.366557377264804973e-01
8.103471458133454375e-01,3.393143121808837037e-01
8.114181736441408166e-01,3.375808782287899601e-01
8.104253379405087498e-01,3.410084459641167798e-01
8.102497000735092714e-01,3.393418314192315210e-01
8.170826656913754427e-01,3.245923354886450785e-01
8.192072040378395315e-01,3.311238765478231594e-01
8.099706113493071458e-01,3.404080361422691658e-01
8.127467583106224858e-01,3.362223289251815017e-01
8.103680410126129496e-01,3.409051162888576680e-01
8.166780667256517967e-01,3.350094324170532767e-01
8.204444954159351155e-01,3.287634039845838130e-01
8.139677739016956126e-01,3.285383098807104219e-01
8.106450683562076431e-01,3.409767241792366899e-01
8.126181593527118663e-01,3.321227903278452520e-01
8.133296479488878461e-01,3.352887369709902643e-01
8.140676369422404912e-01,3.306559721314669686e-01
8.103982735451181751e-01,3.394021763890689991e-01
8.107245319979322629e-01,3.389524760818421467e-01
8.117659746872181170e-01,3.357001629078921190e-01
8.108029425300025128e-01,3.366557377264804973e-01
8.103471458133454375e-01,3.393143121808837037e-01
