# sigma8,om0,ode0
8.111168470398056884e-01,3.522461802884954696e-01,6.970700670176974700e-01
8.102542220937112294e-01,3.541030045338572352e-01,6.967961640123462308e-01
8.103365000763174120e-01,3.543430606051147791e-01,6.975929285857610518e-01
8.099884423220217178e-01,3.544194979778294008e-01,6.974433227249494660e-01
8.100552787387444997e-01,3.538472197847089551e-01,6.980561463829242363e-01
8.101417670925523673e-01,3.544455866111513864e-01,6.974480871945625271e-01
8.100351858062574406e-01,3.544059895291265527e-01,6.975767080488963767e-01
8.098252051637682136e-01,3.538704833264298966e-01,6.960014875221032238e-01
8.097971268212529328e-01,3.542594665775775087e-01,6.969590282835701478e-01
8.118921525906449554e-01,3.442756851875300450e-01,6.903159805344701860e-01
8.120232294412771390e-01,3.450889750799884248e-01,6.970779979544142746e-01
8.101434777318022862e-01,3.542623750187797182e-01,6.975706117008541041e-01
8.101344134819130627e-01,3.546100736862207725e-01,6.972683580683679549e-01
8.099463268170216113e-01,3.540736870200121844e-01,6.969932740081439260e-01
8.114191832903712154e-01,3.481937765764622772e-01,6.939684592734702839e-01
8.102336367427976915e-01,3.542134280440389360e-01,6.975294801258845601e-01
8.105007068893406164e-01,3.527911895914829232e-01,6.965777024072027368e-01
8.124527058026852488e-01,3.443686264972546929e-01,6.917578113531034356e-01
8.102315257822986228e-01,3.539506923437656938e-01,6.973961142754238063e-01
8.107407552035374998e-01,3.504494412331665143e-01,6.955454705268432347e-01
8.112944966179506112e-01,3.520879510390228506e-01,6.972108488931596515e-01
8.102582482612271653e-01,3.540907392471477344e-01,6.967728235480533661e-01
8.106271049535910267e-01,3.529733359305844420e-01,6.967916295881517730e-01
8.099795181985397496e-01,3.543462218841678113e-01,6.973479590264330952e-01
8.100552787387444997e-01,3.538472197847089551e-01,6.980561463829242363e-01
8.101417670925523673e-01,3.544455866111513864e-01,6.974480871945625271e-01
8.100439256795692877e-01,3.541629400499209934e-01,6.977852505452659670e-01
8.096786291410058567e-01,3.536900030356744939e-01,6.952788491157766426e-01
8.097971268212529328e-01,3.542594665775775087e-01,6.969590282835701478e-01
8.129221182862814699e-01,3.380960567932055350e-01,6.862411026955526072e-01
8.122272184199951228e-01,3.435020399794951329e-01,6.946187314849116001e-01
8.101434777318022862e-01,3.542623750187797182e-01,6.975706117008541041e-01
8.102970934959845550e-01,3.542563930447301113e-01,6.972602934795971708e-01
8.099463268170216113e-01,3.540736870200121844e-01,6.969932740081439260e-01
8.114191832903712154e-01,3.481937765764622772e-01,6.939684592734702839e-01
8.102336367427976915e-01,3.542134280440389360e-01,6.975294801258845601e-01
8.109311347565769656e-01,3.515069536803094308e-01,6.959415797904004997e-01
8.124527058026852488e-01,3.443686264972546929e-01,6.917578113531034356e-01
8.102315257822986228e-01,3.539506923437656938e-01,6.973961142754238063e-01
8.107407552035374998e-01,3.504494412331665143e-01,6.955454705268432347e-01
8.112944966179506112e-01,3.520879510390228506e-01,6.972108488931596515e-01
8.102582482612271653e-01,3.540907392471477344e-01,6.967728235480533661e-01
8.106271049535910267e-01,3.529733359305844420e-01,6.967916295881517730e-01
8.099795181985397496e-01,3.543462218841678113e-01,6.973479590264330952e-01
8.100525381994364560e-01,3.538652705386324815e-01,6.980305286235648499e-01
8.101419171174677469e-01,3.544295187560235205e-01,6.974588327264975574e-01
8.100439256795692877e-01,3.541629400499209934e-01,6.977852505452659670e-01
8.096786291410058567e-01,3.536900030356744939e-01,6.952788491157766426e-01
8.097971268212529328e-01,3.542594665775775087e-01,6.969590282835701478e-01
8.149503375922222403e-01,3.259369390893153140e-01,6.777250297128540879e-01
8.122852777830804616e-01,3.437251720265270261e-01,6.938820907083443901e-01
8.102688330982672493e-01,3.541588922721649046e-01,6.978324662375210430e-01
8.102970934959845550e-01,3.542563930447301113e-01,6.972602934795971708e-01
8.099463268170216113e-01,3.540736870200121844e-01,6.969932740081439260e-01
8.114191832903712154e-01,3.481937765764622772e-01,6.939684592734702839e-01
8.102336367427976915e-01,3.542134280440389360e-01,6.975294801258845601e-01
