# sigma8,om0,ode0
8.100445389806395502e-01,3.540713243992857917e-01,6.971593403057558813e-01
8.101976469107008416e-01,3.542995795271511872e-01,6.977319538383652819e-01
8.099826819402106137e-01,3.543997023569670501e-01,6.974110734164979952e-01
8.100366540078864919e-01,3.546283094662163182e-01,6.973373106394724630e-01
8.099446551111516568e-01,3.546096930060046448e-01,6.972684686665483467e-01
8.099660282536784717e-01,3.546717391418781617e-01,6.972914332220098155e-01
8.101086604634950561e-01,3.545512152144383866e-01,6.975365323922305683e-01
8.099448793592902707e-01,3.545170163233744010e-01,6.974409331455101446e-01
8.100484747126154295e-01,3.546314141304969803e-01,6.974310609453774346e-01
8.100968795428395985e-01,3.545466746683222925e-01,6.972813440933145479e-01
8.099381220417273264e-01,3.544203404692249926e-01,6.976638195548756638e-01
8.101819257838325239e-01,3.545154646963812328e-01,6.976026903112967359e-01
8.099997931175207944e-01,3.546977770976234012e-01,6.975130204458542815e-01
8.100464679060781492e-01,3.545244055826832219e-01,6.975027893879887086e-01
8.099796969101971111e-01,3.546140498323214763e-01,6.973625580901007259e-01
8.100993573102782674e-01,3.544384875758923581e-01,6.975412100952397276e-01
8.100201029692204457e-01,3.546248420827982639e-01,6.973876017571039032e-01
8.100248105726440828e-01,3.545945480520443227e-01,6.974939861367420724e-01
8.099186289667814620e-01,3.545705201179902288e-01,6.971186696147687600e-01
8.099180865730344347e-01,3.545187541076627591e-01,6.974254507181131268e-01
8.100445389806395502e-01,3.540713243992857917e-01,6.971593403057558813e-01
8.103543857979099707e-01,3.541647489237443325e-01,6.979124131548337662e-01
8.099826819402106137e-01,3.543997023569670501e-01,6.974110734164979952e-01
8.100366540078864919e-01,3.546283094662163182e-01,6.973373106394724630e-01
8.099179917514052196e-01,3.545670977440895100e-01,6.971502095473373073e-01
8.099892023067396529e-01,3.546318416991601219e-01,6.973499752439366040e-01
8.102831988272303221e-01,3.545366763280794475e-01,6.978901727796972265e-01
8.098643259156675933e-01,3.545100349934253714e-01,6.973920926815204702e-01
8.100484747126154295e-01,3.546314141304969803e-01,6.974310609453774346e-01
8.100968795428395985e-01,3.545466746683222925e-01,6.972813440933145479e-01
8.099190976397151465e-01,3.542489553517371159e-01,6.979176851570109141e-01
8.103085172819172177e-01,3.544537522424511256e-01,6.977530085970743423e-01
8.099997931175207944e-01,3.546977770976234012e-01,6.975130204458542815e-01
8.100505767625074682e-01,3.545261768063212027e-01,6.975050186765994198e-01
8.099906499535866056e-01,3.546309914407445585e-01,6.973513770819254054e-01
8.101348712709740552e-01,3.544502931243957988e-01,6.975808214450150979e-01
8.100201029692204457e-01,3.546248420827982639e-01,6.973876017571039032e-01
8.100260064435472751e-01,3.545868524696731416e-01,6.975210109246668955e-01
8.099186289667814620e-01,3.545705201179902288e-01,6.971186696147687600e-01
8.099180865730344347e-01,3.545187541076627591e-01,6.974254507181131268e-01
8.100762117784635619e-01,3.538062243986656030e-01,6.970600764211530853e-01
8.103541009677226459e-01,3.541649289644649423e-01,6.979120289869307214e-01
8.099665532791920919e-01,3.543147160247006044e-01,6.974205694058479565e-01
8.100366540078864919e-01,3.546283094662163182e-01,6.973373106394724630e-01
8.099182657815846564e-01,3.544882646322042308e-01,6.973403837965446161e-01
8.099892023067396529e-01,3.546318416991601219e-01,6.973499752439366040e-01
8.102794867857548988e-01,3.545387864222581120e-01,6.978852328470924737e-01
8.098253290474088928e-01,3.545037103284026103e-01,6.973678954521321804e-01
8.100484747126154295e-01,3.546314141304969803e-01,6.974310609453774346e-01
8.101164340906866768e-01,3.545456253243249312e-01,6.973452417715259033e-01
8.099924664832379717e-01,3.540496233839648954e-01,6.983478658159674168e-01
8.105743720094262805e-01,3.543284992615613471e-01,6.979713282846887745e-01
8.099997931175207944e-01,3.546977770976234012e-01,6.975130204458542815e-01
