# sigma8,om0
8.103851723128745466e-01,3.280199727143547905e-01
8.095508115870657662e-01,3.291201162028661309e-01
8.101903185175647337e-01,3.277986332469715602e-01
8.100123595156364376e-01,3.286854707470763248e-01
8.101559568554391744e-01,3.286529503714356593e-01
8.103247868359825246e-01,3.272469562984594571e-01
8.102820354752288123e-01,3.294728137496652498e-01
8.098845983056742748e-01,3.284149290927220743e-01
8.097833045295361742e-01,3.290388942780150261e-01
8.100789492851978579e-01,3.287634517082790309e-01
8.095676379354300733e-01,3.292533416022377368e-01
8.101121873367840287e-01,3.288095798654314672e-01
8.132838799411645780e-01,3.260174366085214492e-01
8.097461064411907161e-01,3.285809473642959944e-01
8.111234467999918207e-01,3.284840471881100288e-01
8.099626273352811268e-01,3.285709421554943166e-01
8.100222431510296639e-01,3.270427772133899236e-01
8.097666321013746726e-01,3.284706499332853968e-01
8.098736113289164429e-01,3.282932228251293494e-01
8.112373984329163124e-01,3.274376460995695459e-01
8.107136789122303400e-01,3.270167608177911300e-01
8.095508115870657662e-01,3.291201162028661309e-01
8.101903185175647337e-01,3.277986332469715602e-01
8.102172560751449426e-01,3.288645962459093575e-01
8.101403375987320521e-01,3.286502063618821912e-01
8.103247868359825246e-01,3.272469562984594571e-01
8.102820354752288123e-01,3.294728137496652498e-01
8.098833183904973199e-01,3.284155336552739834e-01
8.099250652398910510e-01,3.288979350110431410e-01
8.100174108060689271e-01,3.291430634511895992e-01
8.097296488152095906e-01,3.292136187522437529e-01
8.101376689353301241e-01,3.284851094019596296e-01
8.151896592816311182e-01,3.238237232286846901e-01
8.097606508142534132e-01,3.280218260971748956e-01
8.106639949032676817e-01,3.278827104379086754e-01
8.099305499507384321e-01,3.286295467236168832e-01
8.100222431510296639e-01,3.270427772133899236e-01
8.097666321013746726e-01,3.284706499332853968e-01
8.098067505817845291e-01,3.288557250313192126e-01
8.112373984329163124e-01,3.274376460995695459e-01
8.107500507128972966e-01,3.270153922696079074e-01
8.091769845845694364e-01,3.294930307415110948e-01
8.101865871159759092e-01,3.278622087343420199e-01
8.103125298502592555e-01,3.289144837609117022e-01
8.101438767218298587e-01,3.285899069085950197e-01
8.101911764789198056e-01,3.275703174963964237e-01
8.102820354752288123e-01,3.294728137496652498e-01
8.099395852520017147e-01,3.285647367742787206e-01
